제목
뽀로로 응가 할 시간이야 크롱 뽀롱뽀롱생활습관 동화책
잠들 때 들려주는 분 구연동화 가지 이야기 부모와 아기가 맨 처음 교감하는 책
소리 나는 아기 목욕책 누르면 삑삑 흔들면 딸랑딸랑
네가 태어난 날엔 곰도 춤을 추었지 내인생의 그림책     
도토리 삼 형제의 안녕하세요
사과가 쿵 세계 걸작 그림책 지크
나도 나도 꼬까신 아기그림책
엄마를 잠깐 잃어버렸어요   
냠냠냠 쪽쪽쪽 둥둥아기그림책 
엄마랑 뽀뽀
잘잘잘  수 놀이 그림책말문 틔기 그림책 
친구를 모두 잃어버리는 방법
소리치자 가나다
새들은 시험 안 봐서 좋겠구나
두드려 보아요
걸어 보아요
기차 ㄱㄴㄷ
사랑해 사랑해 사랑해
동물친구 ㄱ ㄴ ㄷ 꼬까신아기그림책 
깜짝깜짝 색깔들 비룡소 아기 그림책 
부터 까지
움직이는ㄱㄴㄷ
개구쟁이 ㄱㄴㄷ
꼭꼭 숨어라
우리 엄마 어디 있어요
동물원 비룡소 창작 그림책 
응가하자 끙끙
구슬비
시리동동 거미동동
똥이 풍덩 여자
과일과 채소로 만든 맛있는 그림책
누구야 누구 도토리 자연 그림책
기차 ㄱㄴㄷ
달님 안녕 
손이 나왔네
구두구두 걸어라
싹싹싹
잘잘잘 
새는 새는 나무 자고
엄마없는 날 엄마와 함께 읽는 첫 동시집 정두리 유아동시
토끼가 커졌어
바람이 살랑
한글이 된 친구들
유아를 위한 과학교육
태극 장
나는 나를 지켜요 처음 만나는 세상의 규칙
두근두근 편의점
마음버스
욕심은 그만 레이스 장갑
농부 달력
반짝반짝 캐치 티니핑 마음 성장 동화  로미의 새로운 도전
소중해 소중해 나도 너도
반짝반짝 캐치 티니핑 숨은 반짝반짝 친구들을 찾아라
너는 나의 모든 계절이야
감정에 이름을 붙여 봐 내 기분을 말하는 가지 단어
학년 한글 떼기 일 만에 완성하는
연이와 버들 도령
사랑해 사랑해 사랑해 출간 주년 기념판
캐치 티니핑 한글쓰기  마음의 요정 티니핑 편
눈아이 안녕달 그림책
고구마유
나는 약속을 지켜요 처음 만나는 세상의 규칙
여름이 온다
친구의 전설 이지은 그림책
꽁꽁꽁 좀비
내 마음 ㅅㅅㅎ 김지영 그림책
용기를 내 비닐장갑
나는 강물처럼 말해요
한 권으로 끝내는 한글 떼기
대한민국 대표 간식 도전 진짜 편의점 접기
컬러 몬스터 감정의 색깔
클래식 뮤지컬 호두까기 인형 사운드북 차이콥스키의 발레곡
포켓몬 한글쓰기 일 마스터
핑 자유롭게 용감하게 현명하게
오싹오싹 당근
똑똑해지는 개 숨은그림찾기
슈퍼 토끼
이파라파냐무냐무
당근 유치원 안녕달 그림책
물이 되는 꿈
살 첫 수학 초등 입학 전 즐거운 공부 기억을 만드는 시간시계와 달력
할머니의 용궁 여행
벚꽃 팝콘
 동물 오케스트라
구름빵
도전 진짜 과자 접기 대한민국 대표 과자
팥빙수의 전설
진짜 진짜 쉬운 그림 그리기 그림에 자신 없는 엄마를 위한
가만히 들어주었어
우리 아기 오감발달 동물원 사운드북
오케스트라 사운드북 어린이가 알아야 할
오싹오싹 팬티 토토의 그림책
슈퍼 히어로의 똥 닦는 법
이상한 손님
틀려도 괜찮아
새로운 한글이 야호  기본음절 세트
하늘 층짜리 집
이렇게 멋진 날 비룡소의 그림동화 
선
우리는 언제나 다시 만나
왜냐면
알사탕
고구마구마 반달 그림책
기적의 한글 학습  기본자 학습 만 세 이상훈민정음의 창제 원리에 입각한 과학적 한글 학습 프로그램
기적의 한글 학습  훈민정음의 창제 원리에 입각한 과학적 한글 학습 프로그램받침 학습만 세 이상
기적의 한글 학습  훈민정음의 창제 원리에 입각한 과학적 한글 학습 프로그램기본자 학습 만 세 이상
왜 띄어 써야 돼 두고두고 보고 싶은 그림책 
감기 걸린 물고기
기적의 파닉스  하루 쪽 개월이면 혼자서도 영어책 읽기가 가능해지는
기적의 파닉스  하루 쪽 개월이면 혼자서도 영어책 읽기가 가능해지는
할머니의 여름휴가 안녕달 그림책
이상한 엄마
신기한 종이 오리기 오려서 펼치면 깜짝
가지 숨은 미로 찾기 집중력이 쑥쑥 자라고 사고력이 팡팡 터진다
수박 수영장 안녕달 그림책
목기린 씨 타세요 첫 읽기책 
바다 층짜리 집
나 꽃으로 태어났어  팝업북
아나톨의 작은 냄비
달 샤베트
민들레는 민들레  볼로냐 라가치상 수상작 논픽션 스페셜멘숀
손가락 문어 두고두고 보고 싶은 그림책 
슈퍼 거북
뽀롱뽀롱 뽀로로 칼라색칠공부 
너는 어떤 씨앗이니 그림책이 참 좋아 
장수탕 선녀님 책 읽는 곰 
기분을 말해 봐 리커버
지하 층짜리 집
무지개 물고기 네버랜드 세계의 걸작 그림책 
안아 줘 생각이 커지는 명작 그림책웅진 세계 그림책 
눈물바다
층짜리 집
파도야 놀자  비룡소의 그림동화 
돼지책
도서관에 간 사자 웅진 세계그림책 
종이 봉지 공주 비룡소의 그림동화 
우리 아빠가 최고야
우리 엄마
너는 특별하단다  작은나무사람 펀치넬로 이야기
누가 내 머리에 똥쌌어 독일 그림책 시리즈
언제까지나 너를 사랑해
강아지똥
지각대장 존
치과의사 드소토 선생님 비룡소 그림동화 
행복한 청소부
엄마 까투리
손 큰할머니의 만두만들기
만희네 집
내 동생 싸게 팔아요 콩깍지 문고 
이슬이의 첫 심부름 그림책은 내 친구
입이 똥꼬에게  제회 황금도깨비상 수상작비룡소 창작 그림책 
우리 가족 입니다 보림창작그림책공모전 수상작
미술관에 간 윌리 생각이 커지는 명작 그림책
팥죽 할머니와 호랑이 까치호랑이 
느끼는 대로
요셉의 작고 낡은 오버코트가 베틀리딩클럽 취학전 그림책 
넉 점 반
야 우리 기차에서 내려
내 친구 커트니
도대체 그 동안 무슨 일이 일어났을까 이호백 아저씨의 이야기 그림책년 뉴욕타임즈 선정작
황소와 도깨비
까치와 소담이의 수수께끼 놀이
멍멍의사 선생님 세계 걸작 그림책 지크세
지렁이가 흙똥을 누었어
제랄다와 거인
세 엄마 이야기
로쿠베 조금만 기다려
알을 품은 여우
아기곰의 가을 나들이 세
아가야 안녕
내 사랑 뿌뿌
낮잠 자는 집 세계 걸작 그림책 지크
봄날 호랑나비를 보았니 내가 처음 가 본 그림박물관 
이야기 주머니 이야기
영이의 비닐우산
그림 옷을 입은 집 우리 문화 그림책 단청 이야기
바람 부는 날  황금도깨비상 수상작비룡소 창작 그림책 
호랑이 잡은 피리 까치호랑이 
강아지가 태어났어요 과학 그림동화 
빨간 풍선
똥벼락
수염할아버지
프레드릭
리디아의 정원
딸랑새
숲 속에서
인어는 기름 바다에서도 숨을 쉴 수 있나요
꿀꿀 돼지 세용
누구 발자국일까 과학그림동화
동갑내기 울 엄마
여우난골족
나비가 날아간다 그림이있는동시
양초 귀신 우리작가 그림책 
아무도 모를거야 내가 누군지 솔거나라 
오리와 부엉이
지도는 언제나 말을 해
갯벌이 좋아요 솔거나라 
까치와 호랑이와 토끼
트레버가 벽장을 치웠어요 비룡소 그림동화 
개와 고양이
고양순 보림창작그림책공모전수상작
세상의 낮과 밤 꼬마박사의 신기한 발견 
숨쉬는 항아리 솔거나라 전통문화 그림책 
다정한 손길어린이 성폭력 예방을 돕는 이야기 내인생의 그림책
주인 없는 구두 가게
도깨비를 혼내버린 꼬마요정
대별왕 소별왕
크릭터
꽃가마 탄 호랑이
아델과 사이먼
피터의 의자
고양이
말놀이 나라 쫑쫑
내 이름이 담긴 병
맥도널드 아저씨의 아파트 농장      
미술관에 핀 해바라기
할머니 품은 벙어리 장갑보다 따뜻해
할까 말까 수학이 잘잘잘 
앵무새 열 마리
눈 오는 밤 공원지기 퍼시 아저씨 시리즈 
행복한 지게
노란 별 평화와 평등을 실천한 덴마크 왕의 이야기
거인 사냥꾼을 조심하세요 네버랜드 픽쳐 북스 세계의 걸작 그림책 
누가 내 코 못봤니 친구와 함께 보는 그림동화 시리즈 
기러기
새 보는 할배
아빠가 들려주는 밤하늘 이야기
마들렌카의 개
메주 꽃이 활짝 피었네 음식 유물
아빠는 어디에
까만 산의 꿈
슬퍼하는 나무
이야기가 맨 처음 생겨난 이야기
애벌레가 들려주는 나비 이야기
마쯔와 신비한 섬
내가 물려받은 것들
아무도 몰랐으면 좋겠어 여름 이야기
내 그림과 닮았어요 장욱진
돌부처와 비단장수
내가 얼마나 이 책을 읽고 싶어 하는지 아세요 내인생의 그림책
대단한 방귀
고구마는 맛있어 어린이 들살림 
하얀 눈썹 호랑이
연이네 설맞이
공룡 할머니가 들려주는 진화 이야기
종이학
어린이를 위한 한국현대명화감상
둥근 해가 떴습니다
친구하고 싶은 아이로 바꿔주는 책
아빠와 아들 세계 가족동화
괴물 잡으러 갈 거야
어떻게 해가 하늘로 다시 돌아왔을까
보이지 않는 새
섬에 온 쌍둥이 별
선비의 방에 놀러가요 민화그림책시리즈 
착한 달걀
간다아아
숲속 층짜리 집
엄마 도감 권정민 그림책
케이크가 커졌어요
눈보라
세상에서 가장 힘이 센 말
바삭바삭 갈매기
하마를 간질간질하지 마세요 우리 아기 촉감 사운드북
나는 개다
열두 달 나무 아이
꽁꽁꽁
아빠 나한테 물어봐 비룡소의 그림동화 
삐약이 엄마
꿈에서 맛본 똥파리
소피가 화나면 정말 정말 화나면
엄마가 화났다 더책 포함그림책이 참 좋아 
거짓말 같은 이야기 네버랜드 우리 걸작 그림책  볼로냐 국제 어린이 도서전 라가치 상
아씨방 일곱동무
괜찮아
고릴라 비룡소의 그림동화 
늑대가 들려주는 아기돼지 삼형제 이야기 지크 외국그림책  세
줄무늬가 생겼어요
겁쟁이 빌리 비룡소의 그림동화 
점  
으악 도깨비다 느림보 그림책 
재주 많은 다섯 친구 까치호랑이 
링링은 황사를 싫어해
홍길동
똥떡 국시꼬랭이동네
누구 엉덩이
존 버닝햄 나의 그림책 이야기
개구쟁이 노마와 현덕 동화나라
숫자랑 놀자 마루벌의 좋은 그림책 
난지도가 살아났어요
할아버지의 안경
호랑이와 곶감 탐구시리즈 한국의 민화 
줄타는 아이 어름삐리
관계
할아버지의 눈으로
도깨비가 준 보물 곧은나무 우리 옛이야기 
날마다 하나씩 우스개 옛이야기
다다 이솝 이야기
수를 셀 줄 아는 소년
